"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Maicer Izturis","Blue Jays","65","232","213","54","10","0","3","22","14","15","27","1","5","2",".254",".304",".343",".647",".291","-2.0","0.0","0.2","2437"
"Ryan Roberts","Royals","100","366","333","78","15","1","8","38","34","28","74","1","5","4",".234",".294",".357",".651",".290","0.0","-0.8","0.6","5653"
"Tyler Pastornicky","Braves","103","359","330","86","12","3","3","39","27","21","56","1","8","4",".261",".305",".342",".648",".290","-2.0","-0.2","0.3","6777"
"Greg Garcia","Cardinals","125","479","422","98","19","3","5","52","34","40","104","10","8","4",".232",".312",".327",".639",".290","1.0","-0.4","0.9","10951"
"Logan Forsythe","Rays","105","357","317","71","12","2","7","41","30","31","82","5","6","1",".224",".301",".341",".641",".289","-3.0","0.5","0.6","7185"
"Donovan Solano","Marlins","126","437","399","103","17","2","4","41","40","24","76","5","4","1",".258",".306",".341",".646",".289","3.0","0.0","0.9","8623"
"Matt Duffy","Giants","126","494","448","111","20","3","4","54","48","36","92","4","15","5",".248",".307",".333",".640",".287","0.0","0.7","1.5","13836"
"Hernan Perez","Tigers","143","572","539","141","24","4","6","56","45","22","79","2","20","6",".262",".292",".354",".646",".286","2.0","1.2","1.7","5751"
"Danny Espinosa","Nationals","130","490","444","97","22","3","11","49","41","30","153","12","11","3",".218",".285",".356",".641",".285","2.0","0.7","0.8","9219"
"Emilio Bonifacio","White Sox","118","448","410","103","15","3","4","53","27","30","94","1","28","8",".251",".303",".332",".635",".285","0.0","2.2","0.7","4054"
"Carlos Sanchez","White Sox","135","582","533","135","20","4","6","57","44","31","104","4","15","6",".253",".297",".340",".636",".284","6.0","0.2","1.3","11602"
"Kevin Frandsen","Nationals","117","342","318","83","14","1","2","30","29","10","31","10","2","2",".261",".303",".330",".633",".284","-3.0","-0.7","-0.1","7528"
"Nick Punto","Athletics","81","238","211","48","10","2","2","23","16","23","54","0","2","2",".227",".302",".322",".624",".283","0.0","-0.6","0.0","1429"
"Logan Watkins","Cubs","139","516","463","107","20","4","6","61","43","40","119","4","17","6",".231",".297",".330",".627",".282","-2.0","0.7","0.2","4875"
"Tony Abreu","Giants","99","375","353","87","20","3","5","39","36","12","64","5","3","2",".246",".278",".363",".641",".282","2.0","-0.4","0.8","5053"
"Skip Schumaker","Reds","101","308","279","68","13","1","2","28","27","23","51","2","2","1",".244",".305",".319",".624",".281","-6.0","-0.3","-0.5","3704"
"Eric Sogard","Athletics","112","362","326","79","14","1","3","40","29","28","42","2","9","4",".242",".304",".319",".623",".281","1.0","0.0","0.7","7927"
"Josh Rutledge","Angels","138","526","484","112","23","4","9","53","44","26","135","8","10","4",".231",".280",".351",".631",".281","-6.0","0.1","0.7","11167"
"Steve Lombardozzi","Orioles","123","420","392","104","16","3","2","40","30","16","50","3","7","4",".265",".296",".337",".633",".281","0.0","-0.5","0.4","5422"
"Steve Tolleson","Blue Jays","116","361","325","75","14","2","5","36","31","27","85","2","8","3",".231",".291",".332",".624",".280","-1.0","0.2","0.5","4450"
"Darwin Barney","Dodgers","127","456","415","98","21","2","6","46","44","29","56","5","4","1",".236",".291",".340",".631",".279","7.0","0.0","1.2","2430"
"Jace Peterson","Braves","121","507","451","103","18","7","3","63","41","44","95","3","24","10",".228",".299",".319",".619",".279","0.0","0.6","0.8","12325"
"Ramon Santiago","Blue Jays","78","219","192","44","8","1","2","20","18","17","37","3","1","1",".229",".300",".313",".613",".279","-2.0","-0.4","-0.1","1417"
"Chris Valaika","Cubs","115","424","391","91","18","1","8","41","41","21","88","6","2","2",".233",".280",".345",".625",".278","0.0","-0.7","0.0","1165"
"Brandon Hicks","Giants","111","410","367","72","17","2","11","46","40","36","143","4","4","2",".196",".275",".343",".618",".278","3.0","-0.3","0.8","4003"
"Phil Gosselin","Braves","138","546","508","126","23","4","5","58","41","23","105","5","6","2",".248",".286",".339",".624",".278","1.0","0.0","0.4","10953"
"Chone Figgins","Dodgers","50","164","138","30","5","1","0","15","6","22","30","1","6","3",".217",".327",".268",".595",".277","0.0","-0.1","0.1","1580"
